Filename,image_num,image_proportion,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev,Genre.UPDATED,Genre,Genre_gen,Year_Month,Label_Place,,Year,Month,Season,Title
001.jpg,1,0.6027,68,38.1091,80,30.8723,31,11.6209,still-life,still-life,still-life,1881.834,1_Early,1881.916667,1881,11,fall,Valley with Ploughman Seen from Above
002.jpg,2,0.91,23,60.8221,170,65.5958,8,86.5111,still-life,still-life,still-life,1881.834,1_Early,1881.916667,1881,11,fall,Wooden Sheds
003.jpg,3,0.68,61,78.5414,173,60.2914,12,55.2197,still-life,still-life,still-life,1881.834,1_Early,1881.916667,1881,11,fall,First Steps (after Millet)
004.jpg,4,0.6825,210,62.8654,92,75.0203,44,62.3412,landscape,landscape,landscape,1882.5838,1_Early,1882.666667,1882,8,summer,Still Life: Vase with Oleanders and Books
005.jpg,5,1.371,84,60.821,57,29.2818,51,63.9256,cityscape,cityscape,cityscape,1882.5838,1_Early,1882.666667,1882,8,summer,Still Life: Vase with Twelve Sunflowers
006.jpg,6,0.59,171,55.3637,157,53.882,33,6.0756,landscape,landscape,landscape,1882.5838,1_Early,1882.666667,1882,8,summer,Still Life: Vase with Zinnias
007.jpg,7,0.6652,87,43.995,67,50.8334,36,43.5986,landscape,landscape,landscape,1882.5838,1_Early,1882.666667,1882,8,summer,Thistles
008.jpg,8,1.5561,123,64.444,130,48.419,46,54.9838,figural,Figural composition,other,1882.5838,1_Early,1882.666667,1882,8,summer,Three Sunflowers in a Vase
009.jpg,9,1.5513,54,48.6011,115,59.0923,49,64.4986,figural,Figural composition,other,1882.5838,1_Early,1882.666667,1882,8,summer,Two Thistles
010.jpg,10,0.82,153,59.8928,185,34.1899,30,10.1102,cityscape,cityscape,cityscape,1882.5838,1_Early,1882.666667,1882,8,summer,Cafe Terrace on the Place du Forum Arles at Night The
011.jpg,11,0.6279,101,40.337,140,43.8324,21,25.2926,landscape,landscape,landscape,1882.5838,1_Early,1882.666667,1882,8,summer,Entrance to the Public Park in Arles
012.jpg,12,1.0325,116,49.2114,161,58.4409,25,17.1519,figural,Figural composition,other,1882.5838,1_Early,1882.666667,1882,8,summer,Green Vineyard The
013.jpg,13,1.2023,114,61.6938,110,52.3192,29,41.4655,figural,Figural composition,other,1882.5838,1_Early,1882.666667,1882,8,summer,Lane in the Public Garden at Arles A
014.jpg,14,0.7063,175,38.9428,87,34.4754,36,6.9351,landscape,seascape,other,1882.5838,1_Early,1882.666667,1882,8,summer,Night Cafe in the Place Lamartine in Arles The
015.jpg,15,0.6719,81,52.7752,52,25.886,122,37.6516,town,genre scene,genre scene,1882.5838,1_Early,1882.666667,1882,8,summer,Old Mill The
016.jpg,16,0.7519,168,42.4081,82,38.4722,32,14.9382,town,rural town or village,rural_town,1883.2502,1_Early,1883.333333,1883,4,spring,Still Life with Copper Coffeepot and Two White Bowls
017.jpg,17,0.6471,105,60.0029,117,14.9984,18,9.0511,town,rural town or village,rural_town,1883.5838,1_Early,1883.666667,1883,8,summer,Ploughed Field
018.jpg,18,0.6786,143,60.0778,65,30.2012,40,17.9315,landscape,landscape,landscape,1883.5838,1_Early,1883.666667,1883,8,summer,Portrait of Eugene Boch
019.jpg,19,0.6003,104,52.698,85,50.9461,43,35.9598,figural,animals,other,1883.5838,1_Early,1883.666667,1883,8,summer,Self-Portrait (Dedicated to Paul Gauguin)
020.jpg,20,0.585,113,35.5243,131,25.1404,19,16.6804,landscape,landscape,landscape,1883.5838,1_Early,1883.666667,1883,8,summer,Sower: Outskirts of Arles in the Background The
021.jpg,21,0.7176,178,68.1547,185,51.603,34,41.0315,landscape,landscape,landscape,1883.5838,1_Early,1883.666667,1883,8,summer,Starry Night Over the Rhone
022.jpg,22,0.6502,198,58.9939,39,29.467,56,15.8665,town,rural town or village,rural_town,1883.6672,1_Early,1883.75,1883,9,fall,Smoker The
023.jpg,23,0.7,106,47.3599,100,27.6445,32,23.0749,town,rural town or village,rural_town,1883.6672,1_Early,1883.75,1883,9,fall,Spectators in the Arena at Arles
024.jpg,24,0.7488,72,28.4899,99,34.7751,28,8.3213,figural,Figural composition,other,1883.7506,1_Early,1883.833333,1883,10,fall,Peasant Woman Binding Sheaves (after Millet)
025.jpg,25,0.6593,74,74.1568,53,22.6417,35,52.7575,figural,genre scene,genre scene,1883.7506,1_Early,1883.833333,1883,10,fall,Peasant Woman Cutting Straw (after Millet)
026.jpg,26,0.7578,95,37.0804,48,27.8672,60,18.7229,figural,genre scene,genre scene,1883.7506,1_Early,,1883,10,fall,Peasant Woman with a Rake (after Millet)
027.jpg,27,0.6685,92,39.3897,84,71.8407,52,92.2518,town,rural town or village,rural_town,1883.834,1_Early,,1883,11,fall,Cypress trees and two women
028.jpg,28,1.016,65,42.8368,74,21.4157,232,115.2663,figural,genre scene,genre scene,1884,1_Early,,1884,1,winter,Still Life with Cabbage and Clogs
